City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Date
havre-saint-pierre,CA,10.99,85,100,18.41,50.2334,-63.5986,1643565347
zhuhai,CN,60.06,72,40,16.11,22.2769,113.5678,1643565348
wattegama,LK,72.93,96,11,4.07,6.7989,81.4808,1643565349
iskateley,RU,12.31,92,100,13.62,67.6803,53.1512,1643565351
springbok,ZA,81.23,35,62,8.1,-29.6643,17.8865,1643565352
gravdal,NO,33.69,80,75,18.41,68.1214,13.5031,1643565353
ilam,NP,46.87,76,63,3.87,26.9167,87.9167,1643565354
boende,CD,82.35,26,99,1.19,-0.2167,20.8667,1643565356
tiznit,MA,66.52,20,82,19.82,29.5833,-9.5,1643565357
guanare,VE,95.07,25,83,6.46,9.0418,-69.7421,1643565081
vilyuysk,RU,-24.14,100,67,4.65,63.7553,121.6247,1643565360
fairbanks,US,-26.01,69,0,0.0,64.8378,-147.7164,1643565302
lumsden,CA,29.37,87,25,5.46,50.6501,-104.8678,1643565362
viedma,AR,61.09,48,65,17.56,-40.8135,-62.9967,1643565363
partizanskoye,RU,-10.32,99,49,3.67,55.5006,94.39,1643565365
arkhangelskoye,RU,23.59,96,100,9.15,55.8549,35.3287,1643565366
vila,PT,47.28,65,0,3.33,42.0304,-8.1588,1643565367
centralia,US,46.4,72,100,6.91,46.7162,-122.9543,1643565370
tagusao,PH,79.23,82,9,4.23,9.1924,117.8141,1643565371
daru,PG,75.81,89,100,7.45,-9.0763,143.2092,1643565372
balabagan,PH,76.8,84,76,4.21,7.5264,124.1142,1643565374
maniitsoq,GL,13.78,80,100,9.42,65.4167,-52.9,1643565375
kropotkin,RU,33.82,96,95,7.18,45.4375,40.5756,1643565376
lima,PE,75.9,76,40,3.0,-12.0432,-77.0282,1643565353
poro,PH,78.66,77,57,3.49,10.6292,124.4087,1643565379
ipil,PH,74.03,91,55,5.1,7.75,122.5167,1643565380
bosaso,SO,75.34,67,44,5.57,11.2842,49.1816,1643565381
benguela,AO,77.99,79,100,6.17,-12.5763,13.4055,1643565302
mtwara,TZ,77.2,84,50,3.65,-10.2667,40.1833,1643565385
jalu,LY,56.17,55,87,17.43,29.0331,21.5482,1643565386
sorland,NO,33.87,50,100,17.69,67.667,12.6934,1643565388
macherla,IN,70.34,33,2,1.19,16.4833,79.4333,1643565389
severo-kurilsk,RU,26.37,92,100,14.63,50.6789,156.125,1643565390
phalodi,IN,66.43,25,0,6.76,27.1333,72.3667,1643565392
adrar,MR,82.49,10,100,10.87,20.5022,-10.0711,1643565393
sosnovo-ozerskoye,RU,-26.07,100,76,3.06,52.5249,111.5418,1643565394
mount pleasant,US,51.01,33,0,1.01,32.7941,-79.8626,1643565396
ondjiva,AO,68.32,65,100,4.65,-17.0667,15.7333,1643565397
sao joao da barra,BR,91.49,73,61,8.5,-21.6403,-41.0511,1643565398
cabatuan,PH,74.98,92,80,3.11,10.8794,122.486,1643565400
grand gaube,MU,81.0,73,44,1.01,-20.0064,57.6608,1643565401
athens,GR,49.17,66,20,1.99,37.9795,23.7162,1643565160
lata,PT,55.04,49,88,2.21,40.1629,-8.3327,1643565404
cortez,US,54.7,37,77,4.34,37.3489,-108.5859,1643565406
waipawa,NZ,57.83,84,94,3.67,-41.4122,175.5153,1643565366
las palmas,ES,63.39,45,20,5.75,28.4204,-14.0131,1643565408
bemidji,US,14.14,80,0,0.0,47.4736,-94.8803,1643565078
hamilton,US,38.08,56,56,1.99,39.1834,-84.5333,1643565354
ilulissat,GL,2.03,84,100,6.67,69.2167,-51.1,1643565414
christchurch,NZ,63.0,84,58,1.01,-43.5333,172.6333,1643565238
dong xoai,VN,72.57,83,39,2.75,11.5333,106.9167,1643565416
bilma,NE,64.58,15,1,13.65,18.6853,12.9164,1643565418
la asuncion,VE,79.75,69,51,11.45,11.0333,-63.8628,1643565419
zhigansk,RU,-33.05,100,97,2.42,66.7697,123.3711,1643565421
galesong,ID,77.02,77,100,6.91,-5.3166,119.3661,1643565423
miraflores,MX,65.05,29,0,5.39,19.2167,-98.8083,1643565424
porto novo,BJ,87.62,54,79,6.6,6.4965,2.6036,1643565425
son la,VN,52.66,89,76,3.85,21.3167,103.9,1643565427
zyryanka,RU,-17.45,97,100,10.18,65.75,150.85,1643565429
bonthe,SL,82.92,64,24,12.55,7.5264,-12.505,1643565430
bathsheba,BB,84.81,61,20,19.57,13.2167,-59.5167,1643565351
vondrozo,MG,66.09,90,2,1.52,-22.8167,47.2833,1643565433
yelandur,IN,70.05,75,16,5.3,12.0667,77.0333,1643565434
reconquista,AR,94.78,17,0,7.87,-29.15,-59.65,1643565435
san carlos,VE,94.68,27,38,1.16,9.6612,-68.5827,1643565437
fare,PF,80.02,73,39,8.88,-16.7,-151.0167,1643565438
tumbagaan,PH,79.47,77,17,6.76,5.3656,120.3139,1643565439
huangchuan,CN,36.93,78,99,4.76,32.1272,115.0394,1643565441
sembakung,ID,71.6,99,75,0.45,3.8167,117.25,1643565442
tatarskaya pishlya,RU,21.24,96,90,8.23,54.0608,44.8998,1643565443
touros,BR,88.7,66,33,15.41,-5.1989,-35.4608,1643565445
zheleznodorozhnyy,RU,26.82,95,100,11.72,55.7503,38.0042,1643565446
banjarmasin,ID,78.94,89,100,2.06,-3.3244,114.591,1643565447
nara,JP,40.28,67,96,2.53,34.6851,135.8049,1643565449
dunedin,NZ,54.81,90,32,4.59,-45.8742,170.5036,1643565290
corn island,NI,80.11,67,28,15.41,12.1694,-83.0418,1643565451
xam nua,LA,52.83,97,99,2.93,20.4197,104.0439,1643565452
ngunguru,NZ,62.17,77,99,13.6,-35.6167,174.5,1643565454
ust-nera,RU,-16.69,99,100,0.98,64.5667,143.2,1643565370
baturyn,UA,32.92,95,99,13.67,51.3457,32.8779,1643565457
mananara,MG,75.72,90,93,5.41,-16.1667,49.7667,1643565458
dauin,PH,76.93,89,77,2.51,9.1914,123.2654,1643565460
tokur,RU,-21.17,100,84,2.44,53.1333,132.9,1643565461
okhotsk,RU,15.28,74,100,19.46,59.3833,143.3,1643565398
pyay,MM,60.48,61,2,2.13,18.8167,95.2167,1643565464
alta floresta,BR,80.42,78,100,9.22,-9.8756,-56.0861,1643565303
sangar,RU,-34.73,99,25,2.15,63.9242,127.4739,1643565466
bloemfontein,ZA,65.68,77,75,4.61,-29.1211,26.214,1643565467
maragogi,BR,82.72,71,79,10.04,-9.0122,-35.2225,1643565469
magway,MM,60.87,57,0,3.2,20.15,94.9167,1643565470
zhangye,CN,17.51,44,78,3.36,38.9342,100.4517,1643565471
werota,ET,70.99,47,77,11.92,11.9167,37.7,1643565473
peniche,PT,60.28,58,72,7.11,39.3558,-9.3811,1643565474
poronaysk,RU,1.24,94,100,6.11,49.2167,143.1167,1643565475
dergachi,RU,26.89,95,100,9.6,51.2328,48.7659,1643565477
nizhniy baskunchak,RU,27.07,91,85,10.51,48.2198,46.8311,1643565478
shimoda,JP,38.1,64,99,12.26,34.6667,138.95,1643565205
linxia,CN,8.11,85,37,3.76,35.6003,103.2064,1643565480
valparaiso,CL,70.03,64,0,9.22,-33.0393,-71.6273,1643565467
zlitan,LY,57.04,63,20,16.93,32.4674,14.5687,1643565483
tambopata,PE,75.09,94,100,2.3,-12.7333,-69.1833,1643565484
belle fourche,US,55.11,16,68,14.7,44.6714,-103.8522,1643565488
srednekolymsk,RU,-22.88,99,100,4.79,67.45,153.6833,1643565489
gisborne,NZ,60.48,87,23,2.86,-38.6533,178.0042,1643565490
jijiga,ET,61.84,46,46,9.78,9.35,42.8,1643565492
quzhou,CN,34.34,95,12,4.14,28.9594,118.8686,1643565493
coihaique,CL,57.81,47,40,8.05,-45.5752,-72.0662,1643565248
francavilla al mare,IT,49.98,64,16,3.0,42.4206,14.287,1643565495
mareeba,AU,72.45,93,72,1.88,-17.0,145.4333,1643565497
malanje,AO,65.35,96,99,4.38,-9.5402,16.341,1643565471
ponta delgada,PT,60.49,72,40,19.57,37.7333,-25.6667,1643565402
purpe,RU,1.4,97,100,7.81,64.4803,76.6897,1643565500
hinatuan,PH,75.02,92,42,3.02,8.3722,126.3342,1643565504
usinsk,RU,1.87,99,99,6.78,65.9939,57.5281,1643565505
payson,US,47.03,53,0,3.04,40.0444,-111.7321,1643565496
narsaq,GL,9.12,63,100,8.3,60.9167,-46.05,1643565487
grafton,US,21.76,47,23,4.0,42.207,-71.6856,1643565508
roudnice,CZ,40.93,58,0,19.57,50.1762,15.6517,1643565510
wau,SS,77.67,18,90,4.94,7.7029,27.9953,1643565487
togur,RU,6.67,92,100,7.9,58.3631,82.8265,1643565512
vostok,RU,-21.5,99,71,3.8,46.4856,135.8833,1643565514
dunmore east,IE,50.32,77,75,12.66,52.1514,-6.9861,1643565515
la palma,US,70.5,43,0,3.0,33.8464,-118.0467,1643565284
svetlogorsk,BY,31.59,95,100,10.33,52.6333,29.7333,1643565517
catuday,PH,76.32,78,12,15.73,16.2923,119.8062,1643565519
san policarpo,PH,77.77,84,23,1.43,12.1791,125.5072,1643565520
denpasar,ID,82.06,83,40,4.61,-8.65,115.2167,1643565521
mercedes,AR,88.86,26,0,8.48,-34.6515,-59.4307,1643565523
talwandi bhai,IN,50.05,51,1,1.92,30.85,74.9333,1643565524
remedios,CU,68.22,48,12,12.95,22.4947,-79.5458,1643565525
qaqortoq,GL,9.79,65,100,8.68,60.7167,-46.0333,1643565527
coahuayana,MX,88.43,28,0,5.75,18.7333,-103.6833,1643565528
ensenada,MX,59.95,44,0,3.78,31.8667,-116.6167,1643565529
bekhtery,UA,33.01,83,100,13.13,46.251,32.2927,1643565531
neuquen,AR,78.69,25,20,12.66,-38.9516,-68.0591,1643565532
acapulco,MX,83.98,59,1,6.69,16.8634,-99.8901,1643565533
sibiti,CG,70.59,96,98,2.98,-3.6819,13.3499,1643565537
mildura,AU,73.36,43,0,6.91,-34.2,142.15,1643565445
saint-paul,RE,80.71,78,54,2.71,-21.0096,55.2707,1643565539
ntchisi,MW,60.04,94,38,1.23,-13.5278,33.9149,1643565541
la ronge,CA,12.45,85,100,11.5,55.1001,-105.2842,1643565543
canon city,US,52.03,16,0,1.01,38.441,-105.2424,1643565545
luganville,VU,76.26,94,100,4.85,-15.5333,167.1667,1643565546
avondale,US,69.82,23,0,3.0,33.4356,-112.3496,1643565513
puerto madryn,AR,68.34,22,99,26.13,-42.7692,-65.0385,1643565550
ambulu,ID,76.82,90,100,2.59,-8.345,113.6058,1643565551
mandera,KE,86.02,21,97,9.84,3.9366,41.867,1643565553
antofagasta,CL,71.22,62,19,10.56,-23.65,-70.4,1643565554
cleethorpes,GB,44.98,76,96,16.35,53.5605,-0.0323,1643565555
ravar,IR,46.47,34,16,3.83,31.2656,56.8055,1643565557
maldonado,UY,84.22,42,2,11.01,-34.6667,-54.9167,1643565558
consuegra,ES,54.03,26,0,4.32,39.4625,-3.608,1643565559
jumla,NP,36.36,53,0,4.97,29.2747,82.1838,1643565561
codo,BR,81.66,83,86,3.85,-4.4553,-43.8856,1643565562
kainantu,PG,60.03,98,100,2.51,-6.2887,145.8655,1643565563
erenhot,CN,6.39,89,100,16.44,43.6475,111.9767,1643565565
tocache,PE,77.41,90,100,0.87,-8.1842,-76.5125,1643565566
bintulu,MY,75.61,100,40,1.99,3.1667,113.0333,1643565567
hovd,MN,-12.84,81,19,2.17,48.0056,91.6419,1643565569
estelle,US,66.0,45,0,10.36,29.8458,-90.1067,1643565570
kerema,PG,75.85,84,100,1.12,-7.9631,145.7785,1643565571
mashhad,IR,37.54,75,0,4.61,36.297,59.6062,1643565573
razole,IN,67.62,92,3,1.25,16.4833,81.8333,1643565574
beisfjord,NO,10.45,92,49,7.78,68.3751,17.5988,1643565575
tomatlan,MX,86.16,35,2,6.22,19.9333,-105.25,1643565577
saint-joseph,RE,79.18,78,49,12.08,-21.3667,55.6167,1643565578
mountain home,US,21.42,66,57,5.32,43.133,-115.6912,1643565579
alzamay,RU,-0.49,99,100,1.63,55.5562,98.6644,1643565581
olinda,BR,85.73,70,40,11.5,-8.0089,-34.8553,1643565582
gejiu,CN,39.58,96,72,4.63,23.306,103.1635,1643565583
